unique_sample_id	experiment_type	replicate	timepoint	treatment	is_control	animal_id	image_id	curated_rosette_path	base_segmentation_path
R1-D3-A7-I1	constant_fed	R1	D3	none	False	7	1	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_7_0001/02_segmentation_CF_R1_D3_7_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_7_0001/02_segmentation_CF_R1_D3_7_0001_seg_cur.tif
R1-D3-A8-I0	constant_fed	R1	D3	none	False	8	0	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_8/02_segmentation_CF_R1_D3_8_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_8/02_segmentation_CF_R1_D3_8_seg_cur.tif
R1-D3-A8-I1	constant_fed	R1	D3	none	False	8	1	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_8_0001/02_segmentation_CF_R1_D3_8_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_8_0001/02_segmentation_CF_R1_D3_8_0001_seg_cur.tif
R1-D3-A9-I0	constant_fed	R1	D3	none	False	9	0	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_9/02_segmentation_CF_R1_D3_9_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_9/02_segmentation_CF_R1_D3_9_seg_cur.tif
R1-D3-A9-I1	constant_fed	R1	D3	none	False	9	1	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_9_0001/02_segmentation_CF_R1_D3_9_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R1_D3_9_0001/02_segmentation_CF_R1_D3_9_0001_seg_cur.tif
R2-D1-A1-I0	constant_fed	R2	D1	none	False	1	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_1/02_segmentation_CF_R2_D1_1_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_1/02_segmentation_CF_R2_D1_1_seg_cur.tif
R2-D1-A1-I1	constant_fed	R2	D1	none	False	1	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_1_0001/02_segmentation_CF_R2_D1_1_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_1_0001/02_segmentation_CF_R2_D1_1_0001_seg_cur.tif
R2-D1-A10-I0	constant_fed	R2	D1	none	False	10	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10/02_segmentation_CF_R2_D1_10_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10/02_segmentation_CF_R2_D1_10_seg_cur.tif
R2-D1-A10-I1	constant_fed	R2	D1	none	False	10	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10_0001/02_segmentation_CF_R2_D1_10_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10_0001/02_segmentation_CF_R2_D1_10_0001_seg_cur.tif
R2-D1-A10-I2	constant_fed	R2	D1	none	False	10	2	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10_0002/02_segmentation_CF_R2_D1_10_0002_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_10_0002/02_segmentation_CF_R2_D1_10_0002_seg_cur.tif
R2-D1-A2-I0	constant_fed	R2	D1	none	False	2	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2/02_segmentation_CF_R2_D1_2_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2/02_segmentation_CF_R2_D1_2_seg_cur.tif
R2-D1-A2-I1	constant_fed	R2	D1	none	False	2	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2_0001/02_segmentation_CF_R2_D1_2_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2_0001/02_segmentation_CF_R2_D1_2_0001_seg_cur.tif
R2-D1-A2-I2	constant_fed	R2	D1	none	False	2	2	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2_0002/02_segmentation_CF_R2_D1_2_0002_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_2_0002/02_segmentation_CF_R2_D1_2_0002_seg_cur.tif
R2-D1-A3-I0	constant_fed	R2	D1	none	False	3	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_3/02_segmentation_CF_R2_D1_3_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_3/02_segmentation_CF_R2_D1_3_seg_cur.tif
R2-D1-A3-I1	constant_fed	R2	D1	none	False	3	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_3_0001/02_segmentation_CF_R2_D1_3_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_3_0001/02_segmentation_CF_R2_D1_3_0001_seg_cur.tif
R2-D1-A4-I0	constant_fed	R2	D1	none	False	4	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_4/02_segmentation_CF_R2_D1_4_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_4/02_segmentation_CF_R2_D1_4_seg_cur.tif
R2-D1-A4-I1	constant_fed	R2	D1	none	False	4	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_4_0001/02_segmentation_CF_R2_D1_4_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_4_0001/02_segmentation_CF_R2_D1_4_0001_seg_cur.tif
R2-D1-A5-I1	constant_fed	R2	D1	none	False	5	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_5_0001/02_segmentation_CF_R2_D1_5_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_5_0001/02_segmentation_CF_R2_D1_5_0001_seg_cur.tif
R2-D1-A6-I0	constant_fed	R2	D1	none	False	6	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6/02_segmentation_CF_R2_D1_6_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6/02_segmentation_CF_R2_D1_6_seg_cur.tif
R2-D1-A6-I1	constant_fed	R2	D1	none	False	6	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6_0001/02_segmentation_CF_R2_D1_6_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6_0001/02_segmentation_CF_R2_D1_6_0001_seg_cur.tif
R2-D1-A6-I2	constant_fed	R2	D1	none	False	6	2	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6_0002/02_segmentation_CF_R2_D1_6_0002_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_6_0002/02_segmentation_CF_R2_D1_6_0002_seg_cur.tif
R2-D1-A8-I0	constant_fed	R2	D1	none	False	8	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_8/02_segmentation_CF_R2_D1_8_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_8/02_segmentation_CF_R2_D1_8_seg_cur.tif
R2-D1-A8-I1	constant_fed	R2	D1	none	False	8	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_8_0001/02_segmentation_CF_R2_D1_8_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D1_8_0001/02_segmentation_CF_R2_D1_8_0001_seg_cur.tif
R2-D2-A1-I0	constant_fed	R2	D2	none	False	1	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_1/02_segmentation_CF_R2_D2_1_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_1/02_segmentation_CF_R2_D2_1_seg_cur.tif
R2-D2-A1-I1	constant_fed	R2	D2	none	False	1	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_1_0001/02_segmentation_CF_R2_D2_1_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_1_0001/02_segmentation_CF_R2_D2_1_0001_seg_cur.tif
R2-D2-A10-I0	constant_fed	R2	D2	none	False	10	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_10/02_segmentation_CF_R2_D2_10_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_10/02_segmentation_CF_R2_D2_10_seg_cur.tif
R2-D2-A10-I1	constant_fed	R2	D2	none	False	10	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_10_0001/02_segmentation_CF_R2_D2_10_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_10_0001/02_segmentation_CF_R2_D2_10_0001_seg_cur.tif
R2-D2-A2-I0	constant_fed	R2	D2	none	False	2	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_2/02_segmentation_CF_R2_D2_2_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_2/02_segmentation_CF_R2_D2_2_seg_cur.tif
R2-D2-A2-I1	constant_fed	R2	D2	none	False	2	1	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_2_0001/02_segmentation_CF_R2_D2_2_0001_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_2_0001/02_segmentation_CF_R2_D2_2_0001_seg_cur.tif
R2-D2-A3-I0	constant_fed	R2	D2	none	False	3	0	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_3/02_segmentation_CF_R2_D2_3_seg_cur copy.tif	constant_fed/2_250720_constant_fed_seg/CF_R2_D2_3/02_segmentation_CF_R2_D2_3_seg_cur.tif
